Area Code,State,Market,Market Size,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type,Year,Month,Day
203,2,1,1,107.0,176.0,292.0,116.0,69.0,38.0,962.0,110.0,110.0,160.0,270.0,2,2010-01-04,0,4,1,2010,1,4
203,2,1,1,75.0,135.0,225.0,90.0,60.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2010-01-07,0,4,1,2010,1,7
203,2,1,1,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2010-01-11,0,4,1,2010,1,11
203,2,1,1,105.0,174.0,289.0,115.0,69.0,37.0,1166.0,110.0,100.0,160.0,260.0,2,2010-01-12,0,4,1,2010,1,12
203,2,1,1,104.0,135.0,223.0,90.0,56.0,29.0,1148.0,90.0,80.0,130.0,210.0,2,2011-01-07,0,4,1,2011,1,7
203,2,1,1,104.0,135.0,223.0,90.0,56.0,29.0,1139.0,90.0,80.0,130.0,210.0,2,2011-01-08,0,4,1,2011,1,8
203,2,1,1,135.0,155.0,275.0,103.0,64.0,33.0,1130.0,110.0,90.0,150.0,240.0,2,2011-01-09,0,4,1,2011,1,9
203,2,1,1,171.0,188.0,334.0,125.0,73.0,41.0,1119.0,130.0,100.0,160.0,260.0,2,2011-01-10,0,4,1,2011,1,10
203,2,1,1,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,130.0,110.0,180.0,290.0,2,2011-01-11,0,4,1,2011,1,11
203,2,1,1,15.0,31.0,51.0,20.0,16.0,5.0,804.0,20.0,20.0,30.0,50.0,13,2010-01-06,3,9,1,2010,1,6
203,2,1,1,33.0,54.0,90.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2010-01-11,3,9,1,2010,1,11
203,2,1,1,17.0,28.0,47.0,19.0,15.0,5.0,811.0,20.0,20.0,30.0,50.0,13,2011-01-08,3,9,1,2011,1,8
203,2,1,1,27.0,36.0,64.0,24.0,18.0,6.0,806.0,40.0,20.0,40.0,60.0,13,2011-01-10,3,9,1,2011,1,10
203,2,1,1,49.0,54.0,96.0,36.0,21.0,10.0,809.0,40.0,30.0,60.0,90.0,13,2011-01-11,3,9,1,2011,1,11
203,2,1,1,-2.0,75.0,128.0,53.0,77.0,48.0,597.0,10.0,50.0,70.0,120.0,5,2010-01-06,1,2,1,2010,1,6
203,2,1,1,1.0,84.0,144.0,60.0,83.0,54.0,606.0,40.0,40.0,90.0,130.0,5,2010-01-10,1,2,1,2010,1,10
203,2,1,1,2.0,86.0,147.0,61.0,84.0,55.0,613.0,10.0,60.0,80.0,140.0,5,2010-01-11,1,2,1,2010,1,11
203,2,1,1,11.0,105.0,201.0,75.0,103.0,68.0,522.0,20.0,70.0,100.0,170.0,5,2011-01-01,1,2,1,2011,1,1
203,2,1,1,4.0,90.0,165.0,65.0,87.0,58.0,513.0,20.0,60.0,90.0,150.0,5,2011-01-02,1,2,1,2011,1,2
203,2,1,1,0.0,87.0,160.0,63.0,87.0,57.0,506.0,10.0,60.0,80.0,140.0,5,2011-01-03,1,2,1,2011,1,3
203,2,1,1,0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,60.0,80.0,140.0,5,2011-01-04,1,2,1,2011,1,4
203,2,1,1,4.0,90.0,153.0,64.0,81.0,58.0,551.0,20.0,60.0,90.0,150.0,5,2011-01-05,1,2,1,2011,1,5
203,2,1,1,3.0,87.0,159.0,62.0,85.0,56.0,612.0,20.0,50.0,90.0,140.0,5,2011-01-09,1,2,1,2011,1,9
203,2,1,1,-3.0,76.0,140.0,55.0,78.0,49.0,627.0,10.0,50.0,70.0,120.0,5,2011-01-12,1,2,1,2011,1,12
203,2,1,1,29.0,75.0,130.0,55.0,46.0,18.0,305.0,40.0,50.0,70.0,120.0,6,2010-01-02,1,6,0,2010,1,2
203,2,1,1,22.0,65.0,113.0,48.0,43.0,15.0,334.0,40.0,40.0,70.0,110.0,6,2010-01-05,1,6,0,2010,1,5
203,2,1,1,16.0,57.0,100.0,43.0,41.0,14.0,388.0,20.0,40.0,50.0,90.0,6,2010-01-07,1,6,0,2010,1,7
203,2,1,1,16.0,56.0,98.0,42.0,40.0,13.0,384.0,20.0,40.0,50.0,90.0,6,2010-01-08,1,6,0,2010,1,8
203,2,1,1,47.0,75.0,145.0,55.0,47.0,18.0,312.0,40.0,50.0,70.0,120.0,6,2011-01-01,1,6,0,2011,1,1
203,2,1,1,39.0,71.0,132.0,53.0,45.0,17.0,299.0,40.0,50.0,70.0,120.0,6,2011-01-03,1,6,0,2011,1,3
203,2,1,1,22.0,56.0,97.0,42.0,37.0,13.0,384.0,20.0,40.0,50.0,90.0,6,2011-01-08,1,6,0,2011,1,8
203,2,1,1,31.0,64.0,118.0,47.0,43.0,15.0,375.0,50.0,30.0,60.0,90.0,6,2011-01-10,1,6,0,2011,1,10
203,2,1,1,39.0,71.0,132.0,53.0,45.0,17.0,380.0,40.0,50.0,70.0,120.0,6,2011-01-11,1,6,0,2011,1,11
203,2,1,1,31.0,65.0,121.0,49.0,44.0,16.0,392.0,40.0,40.0,70.0,110.0,6,2011-01-12,1,6,0,2011,1,12
203,2,1,1,39.0,104.0,189.0,85.0,65.0,32.0,476.0,40.0,60.0,80.0,140.0,9,2010-01-03,2,10,0,2010,1,3
203,2,1,1,32.0,93.0,169.0,76.0,61.0,28.0,580.0,40.0,50.0,80.0,130.0,9,2010-01-06,2,10,0,2010,1,6
203,2,1,1,50.0,98.0,190.0,80.0,64.0,30.0,494.0,30.0,60.0,70.0,130.0,9,2011-01-04,2,10,0,2011,1,4
203,2,1,1,36.0,83.0,160.0,67.0,59.0,25.0,599.0,20.0,50.0,60.0,110.0,9,2011-01-09,2,10,0,2011,1,9
203,2,1,1,50.0,98.0,189.0,79.0,64.0,30.0,593.0,30.0,40.0,50.0,90.0,9,2011-01-10,2,10,0,2011,1,10
203,2,1,1,46.0,89.0,163.0,74.0,43.0,22.0,949.0,50.0,50.0,70.0,120.0,10,2010-01-03,2,11,0,2010,1,3
203,2,1,1,68.0,90.0,176.0,75.0,44.0,23.0,956.0,50.0,50.0,70.0,120.0,10,2011-01-02,2,11,0,2011,1,2
